species,N_days,seed,auc_mean,auc_std,n_folds_used,n_days_total,n_days_used_median
Rough-toothed dolphin,4,4,0.6537501197566588,0.25150181963215557,5,6,4
Rough-toothed dolphin,4,5,0.673752434248333,0.21948195860194422,5,6,4
Rough-toothed dolphin,4,6,0.6371332788872397,0.25587495552005146,5,6,4
Rough-toothed dolphin,4,7,0.6709567308295608,0.15180372758580832,5,6,4
Rough-toothed dolphin,4,8,0.695261758824887,0.23509524803850826,5,6,4
Rough-toothed dolphin,4,9,0.6825490709087221,0.3013113449064461,5,6,4
Rough-toothed dolphin,8,0,0.697108707456674,0.27933242023566485,5,6,5
Rough-toothed dolphin,8,1,0.5882479745479863,0.14385476946451972,5,6,5
Rough-toothed dolphin,8,2,0.8309392089657672,0.12309481825509673,5,6,5
Rough-toothed dolphin,8,3,0.7554990873991522,0.16659611203867272,5,6,5
Rough-toothed dolphin,8,4,0.6752476993712101,0.17304095351057305,5,6,5
Rough-toothed dolphin,8,5,0.6927105841148652,0.24352725996331936,5,6,5
Rough-toothed dolphin,8,6,0.7720464795568842,0.13833350886996504,5,6,5
Rough-toothed dolphin,8,7,0.7767050315448619,0.12065476657804744,5,6,5
Rough-toothed dolphin,8,8,0.7123122428076522,0.1772833003917655,5,6,5
Rough-toothed dolphin,8,9,0.7295637285021466,0.11045929097054871,5,6,5
Rough-toothed dolphin,all,0,0.697108707456674,0.27933242023566485,5,6,5
Offshore spotted dolphin,2,0,0.5811478069722348,0.16548712389118253,5,9,2
Offshore spotted dolphin,2,1,0.6765310970796726,0.16213405274111964,5,9,2
Offshore spotted dolphin,2,2,0.5217944765436773,0.1614576263068175,5,9,2
Offshore spotted dolphin,2,3,0.42303229503488887,0.14286877245593071,5,9,2
Offshore spotted dolphin,2,4,0.47642006561824546,0.24570676075312275,5,9,2
Offshore spotted dolphin,2,5,0.6799834058429256,0.20348776128403093,5,9,2
Offshore spotted dolphin,2,6,0.45612172044815597,0.13735744452829335,5,9,2
Offshore spotted dolphin,2,7,0.6086073059734523,0.14436801561329177,5,9,2
Offshore spotted dolphin,2,8,0.38962701912897835,0.07424841554728029,5,9,2
Offshore spotted dolphin,2,9,0.5525034040715586,0.1660955828533799,5,9,2
Offshore spotted dolphin,4,0,0.5561482539053164,0.15979116793295164,5,9,4
Offshore spotted dolphin,4,1,0.6189365793935464,0.21232290742069962,5,9,4
Offshore spotted dolphin,4,2,0.6676272949028231,0.13208119817797045,5,9,4
Offshore spotted dolphin,4,3,0.6380058157654022,0.21086891592890455,5,9,4
Offshore spotted dolphin,4,4,0.5648469116156265,0.1425824918444186,5,9,4
Offshore spotted dolphin,4,5,0.601797904753979,0.1299922591579451,5,9,4
Offshore spotted dolphin,4,6,0.6220370688772258,0.13806349977574994,5,9,4
Offshore spotted dolphin,4,7,0.6274244241933107,0.1657129586631989,5,9,4
Offshore spotted dolphin,4,8,0.6871179802616154,0.16666807885428478,5,9,4
Offshore spotted dolphin,4,9,0.6817839532491139,0.18309490720950297,5,9,4
Offshore spotted dolphin,8,0,0.6871583613713069,0.1611512615608001,5,9,7
Offshore spotted dolphin,8,1,0.6424670477520543,0.11806864001043603,5,9,7
Offshore spotted dolphin,8,2,0.6653626194306105,0.13265088484782805,5,9,7
Offshore spotted dolphin,8,3,0.549136385049169,0.18372346619142066,5,9,7
Offshore spotted dolphin,8,4,0.6298960817422493,0.1543125184915865,5,9,7
Offshore spotted dolphin,8,5,0.5862620056841845,0.13881403412937926,5,9,7
Offshore spotted dolphin,8,6,0.5678750717130757,0.17042384693361431,5,9,7
Offshore spotted dolphin,8,7,0.5844108208538087,0.1752530317812736,5,9,7
Offshore spotted dolphin,8,8,0.6240940473490678,0.14812022889695464,5,9,7
Offshore spotted dolphin,8,9,0.6773604037940812,0.15892495868906426,5,9,7
Offshore spotted dolphin,all,0,0.6871583613713069,0.1611512615608001,5,9,7
Striped dolphin,2,0,0.42334415865291125,0.10462072922264001,5,8,2
Striped dolphin,2,1,0.539359779573006,0.18670545159176483,5,8,2
Striped dolphin,2,2,0.4269429399210164,0.2345437326383399,5,8,2
Striped dolphin,2,3,0.5838468752618219,0.26282434088572904,5,8,2
Striped dolphin,2,4,0.5951528965648917,0.23226758683976104,5,8,2
Striped dolphin,2,5,0.6045878606185284,0.27983541932695094,5,8,2
Striped dolphin,2,6,0.499996511142624,0.3007592139917054,5,8,2
Striped dolphin,2,7,0.5844076113988449,0.16800266386427332,5,8,2
Striped dolphin,2,8,0.641385046109343,0.24130959520628117,5,8,2
Striped dolphin,2,9,0.43896095956707953,0.13470238280785027,5,8,2
Striped dolphin,4,0,0.47380749976242365,0.19360686827117463,5,8,4
Striped dolphin,4,1,0.5424165744522298,0.2618092691260882,5,8,4
Striped dolphin,4,2,0.5569821110305017,0.22090037652859185,5,8,4
Striped dolphin,4,3,0.5686702733969236,0.17764610900734554,5,8,4
Striped dolphin,4,4,0.43703712681024004,0.17393797044068973,5,8,4
Striped dolphin,4,5,0.6599867568462112,0.17957803655432444,5,8,4
Striped dolphin,4,6,0.41034663591562015,0.18826290261168505,5,8,4
Striped dolphin,4,7,0.43446066776500547,0.14817661195836826,5,8,4
Striped dolphin,4,8,0.6310394588952045,0.21932680561618295,5,8,4
Striped dolphin,4,9,0.6042701819179076,0.22780344357898583,5,8,4
Striped dolphin,8,0,0.5727860893887952,0.2448342673479997,5,8,6
Striped dolphin,8,1,0.5622000424270188,0.24718239959691288,5,8,6
Striped dolphin,8,2,0.5645495015626283,0.17002968037923724,5,8,6
Striped dolphin,8,3,0.6349328965467208,0.2569082081344598,5,8,6
Striped dolphin,8,4,0.5636358194515789,0.204782590676802,5,8,6
Striped dolphin,8,5,0.6292369477519517,0.22420139510943926,5,8,6
Striped dolphin,8,6,0.628839434710762,0.17358658082109207,5,8,6
Striped dolphin,8,7,0.542830982687956,0.1587199610044646,5,8,6
Striped dolphin,8,8,0.5367455829181254,0.24708140555651048,5,8,6
Striped dolphin,8,9,0.6461555391201103,0.15153195452138027,5,8,6
Striped dolphin,all,0,0.5727860893887952,0.2448342673479997,5,8,6
