Recall,FP_h,TP,FP,evaluator,theta,N,seed,pctl
0.35782195332757133,12.172949002217296,414,305,eval_at,3.6004327070713034,10,0,88.5
0.3465859982713915,11.65410199556541,401,292,eval_at,3.778454012870789,10,0,89.0
0.337942955920484,11.414634146341465,391,286,eval_at,3.951216412782676,10,0,89.5
0.3292999135695765,10.776053215077606,381,270,eval_at,4.14518232345581,10,0,90.0
0.32152117545375974,10.297117516629713,372,258,eval_at,4.390398037433629,10,0,90.5
0.3050993949870354,9.458980044345898,353,237,eval_at,4.6487295866012595,10,0,91.0
0.29213483146067415,8.980044345898005,338,225,eval_at,4.914055690765379,10,0,91.5
0.2731201382886776,8.461197339246121,316,212,eval_at,5.243704910278321,10,0,92.0
0.2610198789974071,7.782705099778271,302,195,eval_at,5.580703401565562,10,0,92.5
0.25237683664649957,7.184035476718404,292,180,eval_at,5.973628854751587,10,0,93.0
0.23681936041486604,6.585365853658537,274,165,eval_at,6.377878851890566,10,0,93.5
0.22817631806395852,6.1862527716186255,264,155,eval_at,6.870238752365106,10,0,94.0
0.21694036300777875,5.587583148558759,251,140,eval_at,7.435738892555238,10,0,94.5
0.20397579948141745,4.869179600886918,236,122,eval_at,8.021546411514272,10,0,95.0
0.19101123595505617,4.230598669623061,221,106,eval_at,8.853099370002742,10,0,95.5
0.17372515125324114,3.791574279379158,201,95,eval_at,9.788473014831547,10,0,96.0
0.15903197925669835,3.1529933481152996,184,79,eval_at,10.963394837379427,10,0,96.5
0.14433880726015558,2.7937915742793793,167,70,eval_at,12.382238616943333,10,0,97.0
0.12445980985306827,2.6341463414634148,144,66,eval_at,14.104111504554782,10,0,97.5
0.10371650821089023,1.9955654101995568,120,50,eval_at,16.25376873016356,10,0,98.0
0.08643042350907519,1.476718403547672,100,37,eval_at,20.116111183166485,10,0,98.5
0.06309420916162489,0.8381374722838139,73,21,eval_at,26.846980304718038,10,0,99.0
0.032843560933448576,0.3192904656319291,38,8,eval_at,40.783941478729076,10,0,99.5
0.36041486603284356,40.629711751662974,417,1018,eval_at,0.054826971143484116,10,1,50.0
0.3621434745030251,40.949002217294904,419,1026,eval_at,0.07694583654403685,10,1,50.5
0.3647363872082973,40.669623059866964,422,1019,eval_at,0.09594673633575444,10,1,51.0
0.3647363872082973,40.82926829268293,422,1023,eval_at,0.1170363735035063,10,1,51.5
0.3656006914433881,41.068736141906875,423,1029,eval_at,0.1391051542758941,10,1,52.0
0.3716508210890233,41.427937915742795,430,1038,eval_at,0.15836446546018212,10,1,52.5
0.3742437337942956,41.268292682926834,433,1034,eval_at,0.17752461135387435,10,1,53.0
0.37510803802938636,41.068736141906875,434,1029,eval_at,0.19837609022855762,10,1,53.5
0.37856525496974935,40.86917960088692,438,1024,eval_at,0.21984446078538927,10,1,54.0
0.3794295592048401,40.709534368070955,439,1020,eval_at,0.2412128852307797,10,1,54.5
0.3863439930855661,40.509977827051,447,1015,eval_at,0.2598624959588051,10,1,55.0
0.39066551426101986,40.310421286031044,452,1010,eval_at,0.28410326838493405,10,1,55.5
0.38807260155574763,40.23059866962306,449,1008,eval_at,0.3045903360843659,10,1,56.0
0.3915298184961106,40.350332594235034,453,1011,eval_at,0.3256219509243965,10,1,56.5
0.3915298184961106,40.509977827051,453,1015,eval_at,0.34826923459768283,10,1,57.0
0.3915298184961106,40.270509977827054,453,1009,eval_at,0.37020353302359577,10,1,57.5
0.3915298184961106,40.031042128603104,453,1003,eval_at,0.3902228045463562,10,1,58.0
0.3941227312013829,39.951219512195124,456,1001,eval_at,0.4099215851724147,10,1,58.5
0.3993085566119274,39.951219512195124,462,1001,eval_at,0.4308805450797081,10,1,59.0
0.4010371650821089,39.951219512195124,464,1001,eval_at,0.4526118049025535,10,1,59.5
0.4044943820224719,39.55210643015521,468,991,eval_at,0.4744483351707456,10,1,60.0
0.4079515989628349,39.312638580931264,472,985,eval_at,0.49712022677063944,10,1,60.5
0.40881590319792566,39.83148558758315,473,998,eval_at,0.5215905272960661,10,1,61.0
0.4105445116681072,39.39246119733925,475,987,eval_at,0.5422411224246024,10,1,61.5
0.4105445116681072,39.27272727272727,475,984,eval_at,0.5625982320308687,10,1,62.0
0.41140881590319794,39.47228381374723,476,989,eval_at,0.586066722869873,10,1,62.5
0.4131374243733794,38.95343680709534,478,976,eval_at,0.6087353044748304,10,1,63.0
0.4131374243733794,38.7139689578714,478,970,eval_at,0.6310121181607248,10,1,63.5
0.4105445116681072,38.43458980044346,475,963,eval_at,0.6537191963195801,10,1,64.0
0.4096802074330164,38.43458980044346,474,963,eval_at,0.6761514303088187,10,1,64.5
0.41227312013828865,38.2749445676275,477,959,eval_at,0.6979875534772874,10,1,65.0
0.4131374243733794,38.15521064301552,478,956,eval_at,0.720822775065899,10,1,65.5
0.4096802074330164,38.19512195121951,474,957,eval_at,0.7443136966228485,10,1,66.0
0.4096802074330164,37.95565410199557,474,951,eval_at,0.7691395419836045,10,1,66.5
0.4096802074330164,37.91574279379158,474,950,eval_at,0.794710043668747,10,1,67.0
0.41140881590319794,37.87583148558759,476,949,eval_at,0.8214652732014657,10,1,67.5
0.41227312013828865,37.19733924611974,477,932,eval_at,0.8478290152549746,10,1,68.0
0.41227312013828865,37.07760532150776,477,929,eval_at,0.8722869995236399,10,1,68.5
0.4131374243733794,36.75831485587583,478,921,eval_at,0.8969899535179137,10,1,69.0
0.41486603284356094,36.35920177383592,480,911,eval_at,0.9247530686855313,10,1,69.5
0.4105445116681072,36.0,475,902,eval_at,0.9517444670200347,10,1,70.0
0.4062229904926534,35.44124168514413,470,888,eval_at,0.9795747891068458,10,1,70.5
0.40363007778738114,35.00221729490023,467,877,eval_at,1.003376779556274,10,1,71.0
0.40276577355229043,34.80266075388027,466,872,eval_at,1.0297281348705292,10,1,71.5
0.4010371650821089,34.36363636363637,464,861,eval_at,1.0584523248672486,10,1,72.0
0.3975799481417459,34.44345898004435,460,863,eval_at,1.0878576368093487,10,1,72.5
0.39844425237683667,33.844789356984485,461,848,eval_at,1.1156467449665064,10,1,73.0
0.39671564390665515,33.325942350332596,459,835,eval_at,1.148747964501381,10,1,73.5
0.39844425237683667,32.567627494456765,461,816,eval_at,1.1817719292640687,10,1,74.0
0.40017286084701814,32.04878048780488,463,803,eval_at,1.2134939318895337,10,1,74.5
0.3993085566119274,31.490022172949004,462,789,eval_at,1.2457336485385895,10,1,75.0
0.40190146931719967,30.97117516629712,465,776,eval_at,1.282982106804848,10,1,75.5
0.40017286084701814,30.572062084257208,463,766,eval_at,1.3181576824188226,10,1,76.0
0.3975799481417459,30.252771618625278,460,758,eval_at,1.3552105522155762,10,1,76.5
0.39671564390665515,29.733924611973396,459,745,eval_at,1.3881203007698066,10,1,77.0
0.39671564390665515,29.21507760532151,459,732,eval_at,1.423766389489174,10,1,77.5
0.3958513396715644,28.696230598669626,458,719,eval_at,1.4656795597076417,10,1,78.0
0.3958513396715644,27.49889135254989,458,689,eval_at,1.5081964427232744,10,1,78.5
0.3941227312013829,27.13968957871397,456,680,eval_at,1.5500210511684411,10,1,79.0
0.39066551426101986,26.940133037694014,452,675,eval_at,1.5925160783529289,10,1,79.5
0.38720829732065687,26.34146341463415,448,660,eval_at,1.6416083335876468,10,1,80.0
0.38547968885047534,25.902439024390247,446,649,eval_at,1.6834295177459717,10,1,80.5
0.38807260155574763,25.383592017738362,449,636,eval_at,1.731541433334351,10,1,81.0
0.3828867761452031,24.904656319290467,443,624,eval_at,1.7731505787372586,10,1,81.5
0.3828867761452031,24.26607538802661,443,608,eval_at,1.8243623542785647,10,1,82.0
0.3811581676750216,23.348115299334815,441,585,eval_at,1.8746142685413323,10,1,82.5
0.3794295592048401,23.068736141906875,439,578,eval_at,1.931724672317504,10,1,83.0
0.3759723422644771,22.54988913525499,435,565,eval_at,1.990841035842896,10,1,83.5
