species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Sperm whale,2,8,0.5662301259302277,0.10981361982801954,5,32,2
Sperm whale,2,9,0.5896865243529521,0.11517716665928857,5,32,2
Sperm whale,4,0,0.7180523310782878,0.12190856597215344,5,32,4
Sperm whale,4,1,0.54355986568954,0.17838223298297068,5,32,4
Sperm whale,4,2,0.5209573639527856,0.08699651490584444,5,32,4
Sperm whale,4,3,0.6612457761389081,0.04667410615619232,5,32,4
Sperm whale,4,4,0.5778681868890925,0.07082759110594158,5,32,4
Sperm whale,4,5,0.5966859412781762,0.14347963647147827,5,32,4
Sperm whale,4,6,0.6307447845812019,0.15940718587944036,5,32,4
Sperm whale,4,7,0.5632905989607304,0.1616474431834296,5,32,4
Sperm whale,4,8,0.48337998822608447,0.14877977871575496,5,32,4
Sperm whale,4,9,0.5232387090077053,0.14933153832230459,5,32,4
Sperm whale,8,0,0.6931921939708643,0.12310239482174758,5,32,8
Sperm whale,8,1,0.5499981578995979,0.03718522302365785,5,32,8
Sperm whale,8,2,0.5849701387378768,0.0946488560078721,5,32,8
Sperm whale,8,3,0.6200566998266762,0.10627802043385552,5,32,8
Sperm whale,8,4,0.506734643921882,0.07399284531753622,5,32,8
Sperm whale,8,5,0.6937418180553037,0.13280713337816005,5,32,8
Sperm whale,8,6,0.5276302028548923,0.09165624432679499,5,32,8
Sperm whale,8,7,0.6265309421781841,0.15054117265164713,5,32,8
Sperm whale,8,8,0.575686514745943,0.123748490934188,5,32,8
Sperm whale,8,9,0.5404836675897037,0.18769969089357502,5,32,8
Sperm whale,16,0,0.5487346516872872,0.16994995970619997,5,32,16
Sperm whale,16,1,0.6080101210070517,0.11874828157577268,5,32,16
Sperm whale,16,2,0.6915045588219039,0.11592716939966735,5,32,16
Sperm whale,16,3,0.6719316462824938,0.11430542489874557,5,32,16
Sperm whale,16,4,0.6545314444273975,0.13685140281338806,5,32,16
Sperm whale,16,5,0.6256677248989999,0.15413320272615827,5,32,16
Sperm whale,16,6,0.6583768038060931,0.1503526907579664,5,32,16
Sperm whale,16,7,0.6784654620739167,0.11799039586964834,5,32,16
Sperm whale,16,8,0.6935992472826611,0.1654945230948566,5,32,16
Sperm whale,16,9,0.6354212407019213,0.10959122495082799,5,32,16
Sperm whale,all,0,0.7145175711048585,0.1471129119525244,5,32,26
False killer whale,1,0,0.6610624077406001,0.09028200952887049,5,13,1
False killer whale,1,1,0.7857593155964573,0.12431570995175628,5,13,1
False killer whale,1,2,0.7685463567373824,0.13850378888695408,5,13,1
False killer whale,1,3,0.7113978116525552,0.1748035647831913,4,13,1
False killer whale,1,4,0.7862337441077708,0.12187812129672373,5,13,1
False killer whale,1,5,0.7700698356426292,0.1888638166923598,5,13,1
False killer whale,1,6,0.7517172561019695,0.1182838373171172,5,13,1
False killer whale,1,7,0.6021060441668451,0.2214396289987412,5,13,1
False killer whale,1,8,0.8631024863959662,0.06445158185335431,4,13,1
False killer whale,1,9,0.7329910193131592,0.05568247115788352,4,13,1
False killer whale,2,0,0.7273414760192279,0.16341297039538863,5,13,2
False killer whale,2,1,0.7191151039893595,0.12927581914383388,5,13,2
