species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Short-finned pilot whale,16,6,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,7,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,8,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,16,9,0.7984599442011013,0.09875978135570222,5,11,9
Short-finned pilot whale,all,0,0.7984599442011013,0.09875978135570222,5,11,9
Rough-toothed dolphin,1,0,0.6048289259727374,0.18946669367841962,4,8,1
Rough-toothed dolphin,1,1,0.7414995219751306,0.22489471574593492,4,8,1
Rough-toothed dolphin,1,2,0.5288901955949364,0.1874581252613364,3,8,1
Rough-toothed dolphin,1,3,0.635841158936483,0.2241366323452757,4,8,1
Rough-toothed dolphin,1,4,0.6717363928549733,0.25992880815388614,4,8,1
Rough-toothed dolphin,1,5,0.43604146605156446,0.2431832421759355,4,8,1
Rough-toothed dolphin,1,6,0.6364814601598338,0.2134625636472018,4,8,1
Rough-toothed dolphin,1,7,0.6725628433610327,0.20515872228378398,4,8,1
Rough-toothed dolphin,1,8,0.7077893065971893,0.3132122021531666,3,8,1
Rough-toothed dolphin,1,9,0.6444541141070008,0.25354292480409857,4,8,1
Rough-toothed dolphin,2,0,0.6834249895247891,0.27767315663478614,4,8,2
Rough-toothed dolphin,2,1,0.6424628444092937,0.3166741946006485,4,8,2
Rough-toothed dolphin,2,2,0.6815584136478068,0.16668387160794446,4,8,2
Rough-toothed dolphin,2,3,0.6826086754980296,0.20691622732433995,4,8,2
Rough-toothed dolphin,2,4,0.722632640120455,0.19707352429507352,4,8,2
Rough-toothed dolphin,2,5,0.6332417588411542,0.2964524009126084,4,8,2
Rough-toothed dolphin,2,6,0.600219778000719,0.23986015427072513,4,8,2
Rough-toothed dolphin,2,7,0.6616373542434056,0.23500974529589028,4,8,2
Rough-toothed dolphin,2,8,0.4800458057990369,0.2550914282170652,4,8,2
Rough-toothed dolphin,2,9,0.6745072963071881,0.23773017991649212,4,8,2
Rough-toothed dolphin,4,0,0.595320611473761,0.27014873427257785,4,8,4
Rough-toothed dolphin,4,1,0.6815158919769674,0.3175835921751939,4,8,4
Rough-toothed dolphin,4,2,0.5530510300224039,0.153320784505831,4,8,4
Rough-toothed dolphin,4,3,0.5585923952909125,0.26892024472466286,4,8,4
Rough-toothed dolphin,4,4,0.6766814258878815,0.31788864351882984,4,8,4
