species,N,seed,auc_mean,auc_std,n_folds_used,n_pos_total
False killer whale,30,1,0.9257428166480318,0.02615952843341037,5,753
False killer whale,30,2,0.9286039878443851,0.02091360063101009,5,753
False killer whale,30,3,0.9296729734669305,0.019262278073001408,5,753
False killer whale,30,4,0.9386343102261977,0.010217940669269168,5,753
False killer whale,100,0,0.9686901461397323,0.007670069600785624,5,753
False killer whale,100,1,0.9637562749061093,0.009940948055973634,5,753
False killer whale,100,2,0.9639358723230412,0.007951799708164066,5,753
False killer whale,100,3,0.966630068303661,0.0061148684149117585,5,753
False killer whale,100,4,0.9656616123390958,0.007824818329132744,5,753
False killer whale,300,0,0.9831025866517589,0.002702917293444742,5,753
False killer whale,300,1,0.9820469385195378,0.004930645140623653,5,753
False killer whale,300,2,0.9835416867348986,0.002408489076980212,5,753
False killer whale,300,3,0.978903898612425,0.0029834458568625288,5,753
False killer whale,300,4,0.9845879597775292,0.0038446049163636748,5,753
False killer whale,1000,0,0.9891481544393796,0.0029521145912321293,5,753
False killer whale,1000,1,0.9891481544393796,0.0029521145912321293,5,753
False killer whale,1000,2,0.9891481544393796,0.0029521145912321293,5,753
False killer whale,1000,3,0.9891481544393796,0.0029521145912321293,5,753
False killer whale,1000,4,0.9891481544393796,0.0029521145912321293,5,753
False killer whale,all,0,0.9891481544393796,0.0029521145912321293,5,753
Short-finned pilot whale,10,0,0.9709346867478805,0.015231495184195575,5,234
Short-finned pilot whale,10,1,0.9730643649058311,0.016809817401793332,5,234
Short-finned pilot whale,10,2,0.9730622749898883,0.02026840597613633,5,234
Short-finned pilot whale,10,3,0.9649955110607863,0.015143848855292947,5,234
Short-finned pilot whale,10,4,0.9611710637496946,0.042525455243259444,5,234
Short-finned pilot whale,30,0,0.9901441979428218,0.0062507306225564165,5,234
Short-finned pilot whale,30,1,0.9839054071506663,0.012509556947430066,5,234
Short-finned pilot whale,30,2,0.9925993911461649,0.0023471231549814344,5,234
Short-finned pilot whale,30,3,0.9855534034844279,0.008735987093791323,5,234
Short-finned pilot whale,30,4,0.991671164366007,0.0039067979500326646,5,234
Short-finned pilot whale,100,0,0.9949794499941934,0.003894455390852806,5,234
Short-finned pilot whale,100,1,0.9959701202089615,0.002186008964710195,5,234
Short-finned pilot whale,100,2,0.9962343957114423,0.0017377572179701189,5,234
Short-finned pilot whale,100,3,0.9922308188265635,0.008352976595543616,5,234
Short-finned pilot whale,100,4,0.9934113485188878,0.005718886539887716,5,234
Short-finned pilot whale,300,0,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,300,1,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,300,2,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,300,3,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,300,4,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,1000,0,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,1000,1,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,1000,2,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,1000,3,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,1000,4,0.9958552524217996,0.004587128161839016,5,234
Short-finned pilot whale,all,0,0.9958552524217996,0.004587128161839016,5,234
Rough-toothed dolphin,10,0,0.92877673417852,0.02357276803138076,5,105
Rough-toothed dolphin,10,1,0.9361386183261183,0.0350089265560191,5,105
Rough-toothed dolphin,10,2,0.9538416048237476,0.008722912896978453,5,105
Rough-toothed dolphin,10,3,0.9067918341579055,0.045198968863286164,5,105
Rough-toothed dolphin,10,4,0.9527607709750567,0.020376683886486193,5,105
Rough-toothed dolphin,30,0,0.9749710755514327,0.0131597448489308,5,105
Rough-toothed dolphin,30,1,0.9716474051741908,0.009966296529082055,5,105
Rough-toothed dolphin,30,2,0.97302540713255,0.020783632673951363,5,105
Rough-toothed dolphin,30,3,0.9713913368377654,0.019858829377214622,5,105
