evaluator,return,th,hr,alpha,pctl
eval_at,"[0.03197925669835782, 13.929046563192905, 37, 349]",0.6173604686719075,25.055555555555554,0.0,76.69999999999962
eval_at,"[0.032843560933448576, 13.809312638580932, 38, 346]",0.621352701616744,25.055555555555554,0.0,76.79999999999961
eval_at,"[0.03111495246326707, 13.968957871396897, 36, 350]",0.6263944470723771,25.055555555555554,0.0,76.89999999999961
eval_at,"[0.03111495246326707, 13.809312638580932, 36, 346]",0.6314087274044753,25.055555555555554,0.0,76.9999999999996
eval_at,"[0.029386343993085567, 13.849223946784923, 34, 347]",0.6358575637635819,25.055555555555554,0.0,77.0999999999996
eval_at,"[0.029386343993085567, 13.609756097560977, 34, 341]",0.6426758923323542,25.055555555555554,0.0,77.19999999999959
eval_at,"[0.029386343993085567, 13.609756097560977, 34, 341]",0.6481741180453676,25.055555555555554,0.0,77.29999999999959
eval_at,"[0.02679343128781331, 13.569844789356985, 31, 340]",0.6545216439568206,25.055555555555554,0.0,77.39999999999958
eval_at,"[0.02592912705272256, 13.649667405764967, 30, 342]",0.6597428674778565,25.055555555555554,0.0,77.49999999999957
eval_at,"[0.02592912705272256, 13.72949002217295, 30, 344]",0.6638649929435465,25.055555555555554,0.0,77.59999999999957
eval_at,"[0.02592912705272256, 13.609756097560977, 30, 341]",0.6711826743805173,25.055555555555554,0.0,77.69999999999956
eval_at,"[0.02592912705272256, 13.569844789356985, 30, 340]",0.6760125077036201,25.055555555555554,0.0,77.79999999999956
eval_at,"[0.025064822817631807, 13.529933481152995, 29, 339]",0.6811776242157681,25.055555555555554,0.0,77.89999999999955
eval_at,"[0.025064822817631807, 13.410199556541022, 29, 336]",0.6884396716372935,25.055555555555554,0.0,77.99999999999955
eval_at,"[0.02592912705272256, 13.37028824833703, 30, 335]",0.6965110686125419,25.055555555555554,0.0,78.09999999999954
eval_at,"[0.02592912705272256, 13.130820399113084, 30, 329]",0.7043715099504247,25.055555555555554,0.0,78.19999999999953
eval_at,"[0.02679343128781331, 13.050997782705101, 31, 327]",0.7108875858786801,25.055555555555554,0.0,78.29999999999953
eval_at,"[0.02592912705272256, 12.931263858093127, 30, 324]",0.7177233751626142,25.055555555555554,0.0,78.39999999999952
eval_at,"[0.02679343128781331, 12.691796008869181, 31, 318]",0.7232215884894387,25.055555555555554,0.0,78.49999999999952
eval_at,"[0.027657735522904063, 12.492239467849226, 32, 313]",0.728800279876194,25.055555555555554,0.0,78.59999999999951
eval_at,"[0.028522039757994815, 12.452328159645234, 33, 312]",0.7358741412672034,25.055555555555554,0.0,78.6999999999995
eval_at,"[0.03025064822817632, 12.133037694013305, 35, 304]",0.742720857746263,25.055555555555554,0.0,78.7999999999995
eval_at,"[0.03025064822817632, 11.97339246119734, 35, 300]",0.7491249437930252,25.055555555555554,0.0,78.8999999999995
eval_at,"[0.03025064822817632, 12.053215077605323, 35, 302]",0.7550193865062559,25.055555555555554,0.0,78.99999999999949
eval_at,"[0.029386343993085567, 12.053215077605323, 34, 302]",0.7624037199492958,25.055555555555554,0.0,79.09999999999948
eval_at,"[0.029386343993085567, 11.933481152993348, 34, 299]",0.7680373224738182,25.055555555555554,0.0,79.19999999999948
eval_at,"[0.03111495246326707, 11.853658536585368, 36, 297]",0.7749030296418021,25.055555555555554,0.0,79.29999999999947
eval_at,"[0.03025064822817632, 11.733924611973393, 35, 294]",0.7819279828569657,25.055555555555554,0.0,79.39999999999947
eval_at,"[0.03111495246326707, 11.57427937915743, 36, 290]",0.7866199257026287,25.055555555555554,0.0,79.49999999999946
eval_at,"[0.03197925669835782, 11.534368070953438, 37, 289]",0.7939545809369444,25.055555555555554,0.0,79.59999999999945
eval_at,"[0.032843560933448576, 11.534368070953438, 38, 289]",0.8015514502072066,25.055555555555554,0.0,79.69999999999945
eval_at,"[0.03197925669835782, 11.374722838137473, 37, 285]",0.8067675660853987,25.055555555555554,0.0,79.79999999999944
eval_at,"[0.03197925669835782, 11.454545454545455, 37, 287]",0.815470305960306,25.055555555555554,0.0,79.89999999999944
