evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.4961106309420916, 38.91352549889135, 574, 975, 583, 1549]",0.7518752992153168,25.055555555555554,10,0,65.5
eval_at,"[0.49265341400172863, 38.23503325942351, 570, 958, 587, 1528]",0.7779926109313965,25.055555555555554,10,0,66.0
eval_at,"[0.49178910976663787, 37.55654101995566, 569, 941, 588, 1510]",0.8047215521335606,25.055555555555554,10,0,66.5
eval_at,"[0.49351771823681934, 37.23725055432373, 571, 933, 586, 1504]",0.8311931240558624,25.055555555555554,10,0,67.0
eval_at,"[0.49178910976663787, 36.75831485587583, 569, 921, 588, 1490]",0.8633140459656715,25.055555555555554,10,0,67.5
eval_at,"[0.4857389801210026, 36.039911308204, 562, 903, 595, 1465]",0.8924443697929383,25.055555555555554,10,0,68.0
eval_at,"[0.48660328435609335, 35.60088691796009, 563, 892, 594, 1455]",0.9214781463146214,25.055555555555554,10,0,68.5
eval_at,"[0.48314606741573035, 34.88248337028825, 559, 874, 598, 1433]",0.9567589658498764,25.055555555555554,10,0,69.0
eval_at,"[0.48055315471045806, 34.52328159645233, 556, 865, 601, 1421]",0.9910818570852274,25.055555555555554,10,0,69.5
eval_at,"[0.4814174589455488, 33.645232815964526, 557, 843, 600, 1400]",1.0254968404769895,25.055555555555554,10,0,70.0
eval_at,"[0.4840103716508211, 33.08647450110865, 560, 829, 597, 1389]",1.0612096190452573,25.055555555555554,10,0,70.5
eval_at,"[0.48314606741573035, 32.687361419068736, 559, 819, 598, 1378]",1.0932375133037564,25.055555555555554,10,0,71.0
eval_at,"[0.4848746758859118, 31.849223946784925, 561, 798, 596, 1359]",1.1313612812757492,25.055555555555554,10,0,71.5
eval_at,"[0.4857389801210026, 31.450110864745014, 562, 788, 595, 1350]",1.1647835159301758,25.055555555555554,10,0,72.0
eval_at,"[0.4848746758859118, 30.771618625277164, 561, 771, 596, 1332]",1.1981893241405486,25.055555555555554,10,0,72.5
eval_at,"[0.4840103716508211, 30.212860310421288, 560, 757, 597, 1317]",1.2330153870582579,25.055555555555554,10,0,73.0
eval_at,"[0.4822817631806396, 29.614190687361422, 558, 742, 599, 1300]",1.2696762478351593,25.055555555555554,10,0,73.5
eval_at,"[0.48055315471045806, 29.015521064301556, 556, 727, 601, 1283]",1.3084830284118654,25.055555555555554,10,0,74.0
eval_at,"[0.4727744165946413, 28.61640798226164, 547, 717, 610, 1264]",1.3521249252557752,25.055555555555554,10,0,74.5
eval_at,"[0.47191011235955055, 28.09756097560976, 546, 704, 611, 1250]",1.3935748636722565,25.055555555555554,10,0,75.0
eval_at,"[0.4710458081244598, 27.618625277161865, 545, 692, 612, 1237]",1.4394332110881811,25.055555555555554,10,0,75.5
eval_at,"[0.46845289541918755, 27.299334811529935, 542, 684, 615, 1226]",1.4846356630325317,25.055555555555554,10,0,76.0
