pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
97,2.6638691425323486,93.5,6.665093977451326,0.3163353500432152,9.778270509977824,366,245,611
97,2.6638691425323486,94.0,7.230382566452026,0.31028522039757994,9.25942350332594,359,232,591
97,2.6638691425323486,94.5,7.782752974033358,0.29559204840103714,8.860310421286028,342,222,564
97,2.6638691425323486,95.0,8.298830270767182,0.2713915298184961,8.381374722838135,314,210,524
97,2.6638691425323486,95.5,9.15174303054808,0.2497839239412273,8.101995565410197,289,203,492
97,2.6638691425323486,96.0,10.260608634948738,0.22558340535868626,7.583148558758313,261,190,451
97,2.6638691425323486,96.5,11.446202530860893,0.20051858254105445,7.423503325942349,232,186,418
97,2.6638691425323486,97.0,13.205799903869616,0.18928262748487468,7.10421286031042,219,178,397
97,2.6638691425323486,97.5,15.630033493042026,0.17718236819360414,6.984478935698446,205,175,380
97,2.6638691425323486,98.0,18.28840183258056,0.15730337078651685,6.545454545454544,182,164,346
97,2.6638691425323486,98.5,20.639936246871937,0.12445980985306827,5.946784922394677,144,149,293
97,2.6638691425323486,99.0,25.564957122802774,0.0881590319792567,5.747228381374722,102,144,246
97,2.6638691425323486,99.5,44.492294750211556,0.07346585998271392,5.028824833702881,85,126,211
96,2.4108684062957764,50.0,0.1126888357102871,0.5324114088159032,46.85587583148558,616,1174,1790
96,2.4108684062957764,50.5,0.1364716307818889,0.533275713050994,47.055432372505535,617,1179,1796
96,2.4108684062957764,51.0,0.15598108872771266,0.5350043215211755,46.85587583148558,619,1174,1793
96,2.4108684062957764,51.5,0.17689920403063308,0.5367329299913569,46.89578713968957,621,1175,1796
96,2.4108684062957764,52.0,0.1971105712652206,0.54019014693172,46.257206208425714,625,1159,1784
96,2.4108684062957764,52.5,0.21920511089265368,0.543647363872083,46.177383592017726,629,1157,1786
96,2.4108684062957764,53.0,0.24245162338018425,0.5462402765773552,46.057649667405755,632,1154,1786
96,2.4108684062957764,53.5,0.2663310308754444,0.5462402765773552,45.898004434589794,632,1150,1782
96,2.4108684062957764,54.0,0.2914988309144984,0.5479688850475367,46.376940133037685,634,1162,1796
