pctl,theta,Recall,FP_h,TP,FP,Pred
68.5,1.0617841202020648,0.5488331892826275,39.51219512195122,635,990,1625
69.0,1.0956259822845453,0.5522904062229905,38.63414634146342,639,968,1607
69.5,1.1298832172155377,0.5531547104580813,37.83592017738359,640,948,1588
70.0,1.1659016728401184,0.5557476231633535,36.99778270509978,643,927,1570
70.5,1.2029517996311185,0.5566119273984442,36.39911308203991,644,912,1556
71.0,1.2367551493644713,0.5548833189282627,35.80044345898005,642,897,1539
71.5,1.2753512686491013,0.5531547104580813,35.00221729490023,640,877,1517
72.0,1.313337516784667,0.5557476231633535,34.48337028824834,643,864,1507
72.5,1.3550862908363333,0.5557476231633535,33.645232815964526,643,843,1486
73.0,1.4004395008087156,0.5566119273984442,33.166297117516635,644,831,1475
73.5,1.447225480079651,0.5557476231633535,32.72727272727273,643,820,1463
74.0,1.4940763139724755,0.5522904062229905,31.9689578713969,639,801,1440
74.5,1.5394434517621989,0.550561797752809,31.050997782705103,637,778,1415
75.0,1.5910484492778778,0.547104580812446,30.532150776053218,633,765,1398
75.5,1.637551926970482,0.547104580812446,30.133037694013307,633,755,1388
76.0,1.6867225074768064,0.5462402765773552,29.973392461197342,632,751,1383
76.5,1.7353397941589357,0.543647363872083,29.813747228381377,629,747,1376
77.0,1.789190582036973,0.5384615384615384,29.2549889135255,623,733,1356
77.5,1.845455855131149,0.533275713050994,28.45676274944568,617,713,1330
78.0,1.907536187171936,0.533275713050994,27.658536585365855,617,693,1310
78.5,1.968847541213037,0.5315471045808124,27.05986696230599,615,678,1293
79.0,2.030156440734863,0.5289541918755402,26.34146341463415,612,660,1272
79.5,2.1054047334194186,0.5254969749351772,25.543237250554327,608,640,1248
80.0,2.1719389438629153,0.5246326707000865,24.904656319290467,607,624,1231
80.5,2.2400103437900545,0.5246326707000865,24.186252771618626,607,606,1213
81.0,2.3093816184997573,0.5229040622299049,23.26829268292683,605,583,1188
81.5,2.389580998420715,0.5229040622299049,22.43015521064302,605,562,1167
82.0,2.465525913238525,0.5168539325842697,21.552106430155213,598,540,1138
82.5,2.550545418262481,0.5159896283491789,20.594235033259427,597,516,1113
83.0,2.642178962230681,0.5125324114088159,19.556541019955656,593,490,1083
83.5,2.743435935974121,0.5108038029386344,19.03769401330377,591,477,1068
84.0,2.838485832214352,0.5116681071737251,17.800443458980045,592,446,1038
84.5,2.9505861079692837,0.5090751944684528,17.20177383592018,589,431,1020
85.0,3.0633385419845585,0.5030250648228176,16.643015521064303,582,417,999
85.5,3.188520919084548,0.5012964563526361,15.725055432372507,580,394,974
86.0,3.3199927473068236,0.4969749351771824,14.807095343680711,575,371,946
86.5,3.461715782880787,0.49265341400172863,14.368070953436808,570,360,930
87.0,3.611596016883839,0.4840103716508211,13.410199556541022,560,336,896
87.5,3.757173776626587,0.47450302506482284,12.651884700665189,549,317,866
88.0,3.9160948753356952,0.4675885911840968,12.292682926829269,541,308,849
88.5,4.093383531570432,0.4589455488331893,11.61419068736142,531,291,822
89.0,4.248846001625061,0.45375972342264476,11.374722838137473,525,285,810
89.5,4.422906408309941,0.44338807260155577,10.456762749445677,513,262,775
90.0,4.612645578384398,0.4364736387208297,10.017738359201775,505,251,756
90.5,4.830001890659335,0.42005185825410546,9.339246119733925,486,234,720
91.0,5.0861229276657305,0.4010371650821089,8.620842572062084,464,216,680
91.5,5.32815319776535,0.38547968885047534,8.101995565410201,446,203,649
92.0,5.616868019104008,0.3681936041486603,7.463414634146342,426,187,613
92.5,5.945296394824982,0.3526361279170268,6.705099778270511,408,168,576
93.0,6.349316420555114,0.331028522039758,6.146341463414634,383,154,537
93.5,6.733911137580873,0.31374243733794294,5.587583148558759,363,140,503
94.0,7.210405616760242,0.2990492653414002,4.988913525498892,346,125,471
94.5,7.767701828479767,0.28349178910976663,4.5099778270509985,328,113,441
95.0,8.446426439285242,0.27052722558340536,4.230598669623061,313,106,419
95.5,9.173789854049673,0.24546240276577355,3.5521064301552108,284,89,373
96.0,10.049182777404791,0.22212618841832324,3.272727272727273,257,82,339
96.5,10.926393294334403,0.20051858254105445,2.7139689578713972,232,68,300
97.0,12.192634134292597,0.1763180639585134,2.354767184035477,204,59,263
97.5,13.360099530220038,0.14866032843560933,2.155210643015521,172,54,226
98.0,14.429577312469451,0.12273120138288678,1.75609756097561,142,44,186
98.5,15.970506649017327,0.0881590319792567,1.237250554323725,102,31,133
99.0,20.09672775268556,0.06568712186689715,1.0776053215077606,76,27,103
