Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.5116681071737251,17.800443458980045,592,446,eval_at,2.838485832214352,84.0,,,,
0.5090751944684528,17.20177383592018,589,431,eval_at,2.9505861079692837,84.5,,,,
0.5030250648228176,16.643015521064303,582,417,eval_at,3.0633385419845585,85.0,,,,
0.5012964563526361,15.725055432372507,580,394,eval_at,3.188520919084548,85.5,,,,
0.4969749351771824,14.807095343680711,575,371,eval_at,3.3199927473068236,86.0,,,,
0.49265341400172863,14.368070953436808,570,360,eval_at,3.461715782880787,86.5,,,,
0.4840103716508211,13.410199556541022,560,336,eval_at,3.611596016883839,87.0,,,,
0.47450302506482284,12.651884700665189,549,317,eval_at,3.757173776626587,87.5,,,,
0.4675885911840968,12.292682926829269,541,308,eval_at,3.9160948753356952,88.0,,,,
0.4589455488331893,11.61419068736142,531,291,eval_at,4.093383531570432,88.5,,,,
0.45375972342264476,11.374722838137473,525,285,eval_at,4.248846001625061,89.0,,,,
0.44338807260155577,10.456762749445677,513,262,eval_at,4.422906408309941,89.5,,,,
0.4364736387208297,10.017738359201775,505,251,eval_at,4.612645578384398,90.0,,,,
0.42005185825410546,9.339246119733925,486,234,eval_at,4.830001890659335,90.5,,,,
0.4010371650821089,8.620842572062084,464,216,eval_at,5.0861229276657305,91.0,,,,
0.38547968885047534,8.101995565410201,446,203,eval_at,5.32815319776535,91.5,,,,
0.3681936041486603,7.463414634146342,426,187,eval_at,5.616868019104008,92.0,,,,
0.3526361279170268,6.705099778270511,408,168,eval_at,5.945296394824982,92.5,,,,
0.331028522039758,6.146341463414634,383,154,eval_at,6.349316420555114,93.0,,,,
0.31374243733794294,5.587583148558759,363,140,eval_at,6.733911137580873,93.5,,,,
0.2990492653414002,4.988913525498892,346,125,eval_at,7.210405616760242,94.0,,,,
0.28349178910976663,4.5099778270509985,328,113,eval_at,7.767701828479767,94.5,,,,
0.27052722558340536,4.230598669623061,313,106,eval_at,8.446426439285242,95.0,,,,
0.24546240276577355,3.5521064301552108,284,89,eval_at,9.173789854049673,95.5,,,,
0.22212618841832324,3.272727272727273,257,82,eval_at,10.049182777404791,96.0,,,,
0.20051858254105445,2.7139689578713972,232,68,eval_at,10.926393294334403,96.5,,,,
0.1763180639585134,2.354767184035477,204,59,eval_at,12.192634134292597,97.0,,,,
0.14866032843560933,2.155210643015521,172,54,eval_at,13.360099530220038,97.5,,,,
0.12273120138288678,1.75609756097561,142,44,eval_at,14.429577312469451,98.0,,,,
0.0881590319792567,1.237250554323725,102,31,eval_at,15.970506649017327,98.5,,,,
0.06568712186689715,1.0776053215077606,76,27,eval_at,20.09672775268556,99.0,,,,
0.03111495246326707,0.3192904656319291,36,8,eval_at,27.69619127273558,99.5,,,,
0.5177182368193605,53.76053215077606,599,1347,eval_union,,99.5,2.6745355892181393,0.10904895886778831,98.0,50.0
0.5203111495246326,53.36141906873615,602,1337,eval_union,,99.5,2.6745355892181393,0.1301919303089378,98.0,50.5
0.5203111495246326,53.68070953436808,602,1345,eval_union,,99.5,2.6745355892181393,0.15375760108232508,98.0,51.0
0.5229040622299049,53.5609756097561,605,1342,eval_union,,99.5,2.6745355892181393,0.17413908205926418,98.0,51.5
0.5220397579948142,53.96008869179601,604,1352,eval_union,,99.5,2.6745355892181393,0.1974159896373749,98.0,52.0
