Recall,FP_h,TP,FP,evaluator,th,alpha,pctl
0.06309420916162489,16.443458980044348,73,412,eval_at,1.004774260023674,0.0,81.89999999999932
0.06222990492653414,16.603104212860313,72,416,eval_at,1.01071027689044,0.0,81.99999999999932
0.06136560069144339,16.603104212860313,71,416,eval_at,1.0152430807834205,0.0,82.09999999999931
0.06136560069144339,16.603104212860313,71,416,eval_at,1.0210373522123348,0.0,82.1999999999993
0.06050129645635264,16.802660753880268,70,421,eval_at,1.0263237091451833,0.0,82.2999999999993
0.059636992221261884,16.603104212860313,69,416,eval_at,1.0316502060438166,0.0,82.3999999999993
0.059636992221261884,16.483370288248338,69,413,eval_at,1.0373161867501222,0.0,82.49999999999929
0.059636992221261884,16.563192904656322,69,415,eval_at,1.0435517149315852,0.0,82.59999999999928
0.059636992221261884,16.643015521064303,69,417,eval_at,1.0489315066032072,0.0,82.69999999999928
0.06050129645635264,16.802660753880268,70,421,eval_at,1.0539015073599696,0.0,82.79999999999927
0.059636992221261884,16.603104212860313,69,416,eval_at,1.0596231144996868,0.0,82.89999999999927
0.059636992221261884,16.643015521064303,69,417,eval_at,1.065675644872504,0.0,82.99999999999926
0.06050129645635264,16.643015521064303,70,417,eval_at,1.0706593033714864,0.0,83.09999999999926
0.059636992221261884,16.563192904656322,69,415,eval_at,1.0756155279168251,0.0,83.19999999999925
0.059636992221261884,16.603104212860313,69,416,eval_at,1.081104443254151,0.0,83.29999999999924
0.058772687986171135,16.443458980044348,68,412,eval_at,1.0858188384292382,0.0,83.39999999999924
0.06050129645635264,16.323725055432373,70,409,eval_at,1.089937284756139,0.0,83.49999999999923
0.06136560069144339,16.363636363636363,71,410,eval_at,1.0951321852015021,0.0,83.59999999999923
0.06136560069144339,16.283813747228383,71,408,eval_at,1.0996201597551545,0.0,83.69999999999922
0.06136560069144339,16.203991130820402,71,406,eval_at,1.1037028369264001,0.0,83.79999999999922
0.06050129645635264,15.884700665188472,70,398,eval_at,1.1095395907551486,0.0,83.89999999999921
0.059636992221261884,15.80487804878049,69,396,eval_at,1.1138603468599098,0.0,83.9999999999992
0.059636992221261884,15.924611973392462,69,399,eval_at,1.1194211746282159,0.0,84.0999999999992
