pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
96,2.2125669479370127,58.5,0.46726177960634213,0.5280898876404494,57.71175166297118,611,1446,2057
96,2.2125669479370127,59.0,0.49008097410202023,0.5280898876404494,57.07317073170732,611,1430,2041
96,2.2125669479370127,59.5,0.5134383669495581,0.5324114088159032,56.59423503325943,616,1418,2034
96,2.2125669479370127,60.0,0.536166477203369,0.533275713050994,56.51441241685144,617,1416,2033
96,2.2125669479370127,60.5,0.5595470631122589,0.5341400172860847,56.75388026607539,618,1422,2040
96,2.2125669479370127,61.0,0.5817095768451691,0.5358686257562663,56.95343680709535,620,1427,2047
96,2.2125669479370127,61.5,0.6042246025800704,0.5358686257562663,56.51441241685144,620,1416,2036
96,2.2125669479370127,62.0,0.6289117872714997,0.5358686257562663,56.31485587583149,620,1411,2031
96,2.2125669479370127,62.5,0.6533820331096649,0.5358686257562663,55.79600886917961,620,1398,2018
96,2.2125669479370127,63.0,0.6831670719385142,0.5341400172860847,55.67627494456763,618,1395,2013
96,2.2125669479370127,63.5,0.7098419928550724,0.5358686257562663,55.3569844789357,620,1387,2007
96,2.2125669479370127,64.0,0.7381514167785644,0.5358686257562663,55.19733924611974,620,1383,2003
96,2.2125669479370127,64.5,0.764243181347847,0.5350043215211755,54.55875831485588,619,1367,1986
96,2.2125669479370127,65.0,0.7910401135683061,0.5367329299913569,54.23946784922395,621,1359,1980
96,2.2125669479370127,65.5,0.8190016227960588,0.5367329299913569,53.84035476718404,621,1349,1970
96,2.2125669479370127,66.0,0.8498276674747467,0.5367329299913569,53.281596452328166,621,1335,1956
96,2.2125669479370127,66.5,0.878896164894104,0.5393258426966292,52.72283813747229,624,1321,1945
96,2.2125669479370127,67.0,0.9106361728906633,0.5358686257562663,52.40354767184036,620,1313,1933
96,2.2125669479370127,67.5,0.9385085552930833,0.5367329299913569,52.12416851441242,621,1306,1927
96,2.2125669479370127,68.0,0.9666943550109866,0.543647363872083,51.485587583148565,629,1290,1919
96,2.2125669479370127,68.5,0.9929769545793534,0.5445116681071738,50.966740576496676,630,1277,1907
96,2.2125669479370127,69.0,1.0231032216548914,0.5453759723422644,50.248337028824835,631,1259,1890
96,2.2125669479370127,69.5,1.0563565552234644,0.5427830596369922,49.37028824833703,628,1237,1865
96,2.2125669479370127,70.0,1.0908433079719542,0.5427830596369922,48.97117516629712,628,1227,1855
96,2.2125669479370127,70.5,1.1248327416181563,0.5419187554019015,48.33259423503326,627,1211,1838
96,2.2125669479370127,71.0,1.1584407019615157,0.5427830596369922,47.85365853658537,628,1199,1827
96,2.2125669479370127,71.5,1.1988615226745605,0.5427830596369922,47.09534368070954,628,1180,1808
96,2.2125669479370127,72.0,1.23315447807312,0.5445116681071738,46.3769401330377,630,1162,1792
96,2.2125669479370127,72.5,1.2662764459848403,0.5453759723422644,45.4589800443459,631,1139,1770
96,2.2125669479370127,73.0,1.3011794543266295,0.5453759723422644,45.13968957871397,631,1131,1762
96,2.2125669479370127,73.5,1.3419092965126038,0.5410544511668107,44.18181818181819,626,1107,1733
96,2.2125669479370127,74.0,1.37932553768158,0.5393258426966292,43.26385809312639,624,1084,1708
96,2.2125669479370127,74.5,1.4226888734102243,0.5367329299913569,42.305986696230605,621,1060,1681
96,2.2125669479370127,75.0,1.4639769792556763,0.533275713050994,41.827050997782706,617,1048,1665
96,2.2125669479370127,75.5,1.5006821799278272,0.5324114088159032,40.949002217294904,616,1026,1642
96,2.2125669479370127,76.0,1.5416811180114744,0.5298184961106309,40.15077605321508,613,1006,1619
96,2.2125669479370127,76.5,1.590722234249115,0.5298184961106309,39.39246119733925,613,987,1600
96,2.2125669479370127,77.0,1.6407452356815342,0.5289541918755402,38.31485587583149,612,960,1572
96,2.2125669479370127,77.5,1.6886990547180165,0.5254969749351772,37.75609756097561,608,946,1554
96,2.2125669479370127,78.0,1.7344632649421694,0.5229040622299049,36.87804878048781,605,924,1529
96,2.2125669479370127,78.5,1.7916628944873827,0.5177182368193605,36.23946784922395,599,908,1507
96,2.2125669479370127,79.0,1.8576587069034574,0.5116681071737251,35.68070953436808,592,894,1486
96,2.2125669479370127,79.5,1.9154004043340684,0.5099394987035436,34.88248337028825,590,874,1464
96,2.2125669479370127,80.0,1.9741851329803468,0.5064822817631807,34.04434589800444,586,853,1439
96,2.2125669479370127,80.5,2.036969654560089,0.5073465859982714,33.525498891352555,587,840,1427
96,2.2125669479370127,81.0,2.102254722118378,0.5038893690579084,32.807095343680714,583,822,1405
96,2.2125669479370127,81.5,2.175994237661361,0.4995678478824546,31.889135254988915,578,799,1377
96,2.2125669479370127,82.0,2.248897409439087,0.49524632670700086,31.170731707317074,573,781,1354
96,2.2125669479370127,82.5,2.3326381504535667,0.49351771823681934,30.252771618625278,571,758,1329
96,2.2125669479370127,83.0,2.425430073738098,0.49006050129645634,29.694013303769403,567,744,1311
96,2.2125669479370127,83.5,2.5196004760265356,0.49006050129645634,28.89578713968958,567,724,1291
96,2.2125669479370127,84.0,2.6304725933074953,0.48833189282627487,28.17738359201774,565,706,1271
96,2.2125669479370127,84.5,2.7276616275310506,0.48660328435609335,27.299334811529935,563,684,1247
96,2.2125669479370127,85.0,2.8380211830139164,0.4840103716508211,26.580931263858094,560,666,1226
96,2.2125669479370127,85.5,2.955703905820846,0.4788245462402766,25.902439024390247,554,649,1203
96,2.2125669479370127,86.0,3.081022396087646,0.47536732929991354,25.104212860310422,550,629,1179
96,2.2125669479370127,86.5,3.2219283390045166,0.47450302506482284,24.66518847006652,549,618,1167
96,2.2125669479370127,87.0,3.3582502841949444,0.4701815038893691,23.66740576496674,544,593,1137
96,2.2125669479370127,87.5,3.52468004822731,0.4641313742437338,22.749445676274945,537,570,1107
96,2.2125669479370127,88.0,3.7051178741455093,0.4554883318928263,22.270509977827054,527,558,1085
96,2.2125669479370127,88.5,3.874412554502486,0.44165946413137425,21.711751662971178,511,544,1055
96,2.2125669479370127,89.0,4.0701590919494635,0.4278305963699222,21.232815964523283,495,532,1027
96,2.2125669479370127,89.5,4.255578207969666,0.4261019878997407,20.873614190687363,493,523,1016
96,2.2125669479370127,90.0,4.457726860046381,0.4079515989628349,20.474501108647452,472,513,985
96,2.2125669479370127,90.5,4.675087914466858,0.3941227312013829,20.11529933481153,456,504,960
96,2.2125669479370127,91.0,4.933004894256597,0.3811581676750216,19.596452328159646,441,491,932
96,2.2125669479370127,91.5,5.220453071594238,0.36732929991356955,18.798226164079825,425,471,896
96,2.2125669479370127,92.0,5.517267513275148,0.3560933448573898,18.199556541019955,412,456,868
96,2.2125669479370127,92.5,5.841959142684942,0.33967156439066554,17.680709534368074,393,443,836
96,2.2125669479370127,93.0,6.205128560066222,0.32238547968885045,17.321507760532153,373,434,807
96,2.2125669479370127,93.5,6.654482979774491,0.31028522039757994,16.643015521064303,359,417,776
96,2.2125669479370127,94.0,7.212375669479336,0.29818496110630943,16.203991130820402,345,406,751
96,2.2125669479370127,94.5,7.794489538669587,0.2904062229904927,15.605321507760534,336,391,727
96,2.2125669479370127,95.0,8.410855770111041,0.27657735522904064,15.046563192904658,320,377,697
