pctl,theta,Recall,FP_h,TP,FP,Pred
82.5,2.3326381504535667,0.4814174589455488,19.75609756097561,557,495,1052
83.0,2.425430073738098,0.47796024200518583,19.237250554323726,553,482,1035
83.5,2.5196004760265356,0.47796024200518583,18.399113082039914,553,461,1014
84.0,2.6304725933074953,0.4762316335350043,17.64079822616408,551,442,993
84.5,2.7276616275310506,0.47450302506482284,16.722838137472284,549,419,968
85.0,2.8380211830139164,0.4710458081244598,16.044345898004437,545,402,947
85.5,2.955703905820846,0.4658599827139153,15.325942350332596,539,384,923
86.0,3.081022396087646,0.46153846153846156,14.567627494456763,534,365,899
86.5,3.2219283390045166,0.4606741573033708,14.12860310421286,533,354,887
87.0,3.3582502841949444,0.45635263612791704,13.090909090909092,528,328,856
87.5,3.52468004822731,0.45030250648228176,12.133037694013305,521,304,825
88.0,3.7051178741455093,0.4399308556611927,11.694013303769403,509,293,802
88.5,3.874412554502486,0.4243733794295592,11.095343680709535,491,278,769
89.0,4.0701590919494635,0.4105445116681072,10.576496674057651,475,265,740
89.5,4.255578207969666,0.40881590319792566,10.21729490022173,473,256,729
90.0,4.457726860046381,0.3898012100259291,9.85809312638581,451,247,698
90.5,4.675087914466858,0.3759723422644771,9.49889135254989,435,238,673
91.0,4.933004894256597,0.3630077787381158,8.940133037694014,420,224,644
91.5,5.220453071594238,0.34831460674157305,8.181818181818182,403,205,608
92.0,5.517267513275148,0.3362143474503025,7.583148558758316,389,190,579
92.5,5.841959142684942,0.3197925669835782,7.06430155210643,370,177,547
93.0,6.205128560066222,0.3025064822817632,6.705099778270511,350,168,518
93.5,6.654482979774491,0.2904062229904927,6.026607538802661,336,151,487
94.0,7.212375669479336,0.27657735522904064,5.667405764966741,320,142,462
94.5,7.794489538669587,0.26707000864304237,5.108647450110865,309,128,437
95.0,8.410855770111041,0.25324114088159033,4.549889135254989,293,114,407
95.5,9.304570846557606,0.23595505617977527,4.270509977827051,273,107,380
96.0,10.050942497253422,0.222990492653414,3.831485587583149,258,96,354
96.5,10.904608006477345,0.2048401037165082,3.3924611973392462,237,85,322
97.0,11.678171405792227,0.18063958513396716,2.753880266075388,209,69,278
97.5,12.63719093799591,0.14779602420051857,2.2749445676274944,171,57,228
98.0,13.963846740722648,0.12186689714779603,1.796008869179601,141,45,186
98.5,16.57019313812255,0.09766637856525497,1.3569844789356986,113,34,147
99.0,20.60003761291506,0.06222990492653414,0.8381374722838139,72,21,93
99.5,28.334656648635683,0.028522039757994815,0.4390243902439025,33,11,44
