Recall,FP_h,TP,FP,evaluator,th,enc_name,sname
0.12964563526361278,36.43902439024391,150,913,eval_at,1.1503133434057238,OceanBEATs_fixed_valref,kNN_z
0.12618841832324978,35.92017738359202,146,900,eval_at,1.1726157188415527,OceanBEATs_fixed_valref,kNN_z
0.12273120138288678,35.04212860310422,142,878,eval_at,1.1942823982238768,OceanBEATs_fixed_valref,kNN_z
0.12013828867761452,34.84257206208426,139,873,eval_at,1.2176420235633851,OceanBEATs_fixed_valref,kNN_z
0.11754537597234227,34.12416851441242,136,855,eval_at,1.2409615933895108,OceanBEATs_fixed_valref,kNN_z
0.11063094209161625,33.68514412416852,128,844,eval_at,1.260698411464691,OceanBEATs_fixed_valref,kNN_z
0.1063094209161625,32.966740576496676,123,826,eval_at,1.2823903977870932,OceanBEATs_fixed_valref,kNN_z
0.10544511668107173,32.407982261640804,122,812,eval_at,1.3027356994152068,OceanBEATs_fixed_valref,kNN_z
0.10371650821089023,32.04878048780488,120,803,eval_at,1.328858056664467,OceanBEATs_fixed_valref,kNN_z
0.10285220397579949,31.64966740576497,119,793,eval_at,1.3533679580688476,OceanBEATs_fixed_valref,kNN_z
0.09507346585998272,30.891352549889138,110,774,eval_at,1.3790263366699218,OceanBEATs_fixed_valref,kNN_z
0.09507346585998272,30.811529933481154,110,772,eval_at,1.4021633446216584,OceanBEATs_fixed_valref,kNN_z
0.09075194468452895,30.133037694013307,105,755,eval_at,1.426366180181503,OceanBEATs_fixed_valref,kNN_z
0.08902333621434745,29.095343680709536,103,729,eval_at,1.4525166010856627,OceanBEATs_fixed_valref,kNN_z
0.08556611927398444,27.81818181818182,99,697,eval_at,1.4770316010713578,OceanBEATs_fixed_valref,kNN_z
0.08038029386343994,27.05986696230599,93,678,eval_at,1.5034060716629025,OceanBEATs_fixed_valref,kNN_z
0.07692307692307693,26.860310421286034,89,673,eval_at,1.5296020805835724,OceanBEATs_fixed_valref,kNN_z
0.07519446845289542,26.221729490022174,87,657,eval_at,1.557452006340027,OceanBEATs_fixed_valref,kNN_z
0.07433016421780467,25.503325942350333,86,639,eval_at,1.5861279761791227,OceanBEATs_fixed_valref,kNN_z
0.07173725151253241,24.66518847006652,83,618,eval_at,1.6122373390197755,OceanBEATs_fixed_valref,kNN_z
0.07260155574762317,23.427937915742795,84,587,eval_at,1.6420626103878024,OceanBEATs_fixed_valref,kNN_z
0.0665514261019879,22.509977827051,77,564,eval_at,1.669916236400604,OceanBEATs_fixed_valref,kNN_z
0.06136560069144339,21.79157427937916,71,546,eval_at,1.7045922601222994,OceanBEATs_fixed_valref,kNN_z
0.05790838375108038,20.913525498891353,67,524,eval_at,1.7371764206886293,OceanBEATs_fixed_valref,kNN_z
0.058772687986171135,19.7960088691796,68,496,eval_at,1.7748317420482635,OceanBEATs_fixed_valref,kNN_z
0.056179775280898875,19.07760532150776,65,478,eval_at,1.8155619955062867,OceanBEATs_fixed_valref,kNN_z
0.05358686257562662,18.039911308203994,62,452,eval_at,1.8587961971759797,OceanBEATs_fixed_valref,kNN_z
0.05099394987035436,17.16186252771619,59,430,eval_at,1.9064133095741271,OceanBEATs_fixed_valref,kNN_z
0.049265341400172864,16.004434589800443,57,401,eval_at,1.95513234436512,OceanBEATs_fixed_valref,kNN_z
0.05012964563526361,14.527716186252773,58,364,eval_at,2.0108552265167234,OceanBEATs_fixed_valref,kNN_z
0.046672428694900604,13.769401330376942,54,345,eval_at,2.067419731616974,OceanBEATs_fixed_valref,kNN_z
0.04235090751944685,12.651884700665189,49,317,eval_at,2.1216321110725387,OceanBEATs_fixed_valref,kNN_z
0.04062229904926534,11.534368070953438,47,289,eval_at,2.191552155017851,OceanBEATs_fixed_valref,kNN_z
0.03543647363872083,10.257206208425721,41,257,eval_at,2.270799446105958,OceanBEATs_fixed_valref,kNN_z
0.03111495246326707,8.660753880266077,36,217,eval_at,2.3634525716304777,OceanBEATs_fixed_valref,kNN_z
0.03197925669835782,7.74279379157428,37,194,eval_at,2.4551436185836772,OceanBEATs_fixed_valref,kNN_z
0.028522039757994815,6.705099778270511,33,168,eval_at,2.5520155668258666,OceanBEATs_fixed_valref,kNN_z
0.02679343128781331,5.348115299334812,31,134,eval_at,2.6775408267974847,OceanBEATs_fixed_valref,kNN_z
0.01901469317199654,4.070953436807096,22,102,eval_at,2.8412906360626207,OceanBEATs_fixed_valref,kNN_z
0.016421780466724288,2.753880266075388,19,69,eval_at,3.0382089853286747,OceanBEATs_fixed_valref,kNN_z
0.007778738115816767,1.3170731707317074,9,33,eval_at,3.3869329202175105,OceanBEATs_fixed_valref,kNN_z
0.25324114088159033,54.19955654101996,293,1358,eval_at,-0.008646570146083832,OceanBEATs_fixed_valref,Mahalanobis_z
0.2480553154710458,54.11973392461198,287,1356,eval_at,0.007792678289115229,OceanBEATs_fixed_valref,Mahalanobis_z
0.24719101123595505,53.72062084257207,286,1346,eval_at,0.02636594232171851,OceanBEATs_fixed_valref,Mahalanobis_z
0.2445980985306828,53.80044345898005,283,1348,eval_at,0.044506108630448626,OceanBEATs_fixed_valref,Mahalanobis_z
0.24632670700086431,53.48115299334812,285,1340,eval_at,0.06299386352300644,OceanBEATs_fixed_valref,Mahalanobis_z
0.2497839239412273,53.44124168514413,289,1339,eval_at,0.07975355256348932,OceanBEATs_fixed_valref,Mahalanobis_z
0.25064822817631804,53.5609756097561,290,1342,eval_at,0.09827962353825571,OceanBEATs_fixed_valref,Mahalanobis_z
0.24719101123595505,53.72062084257207,286,1346,eval_at,0.11825122803449631,OceanBEATs_fixed_valref,Mahalanobis_z
0.24546240276577355,53.5609756097561,284,1342,eval_at,0.13697101533412942,OceanBEATs_fixed_valref,Mahalanobis_z
0.2428694900605013,53.44124168514413,281,1339,eval_at,0.1564189024269581,OceanBEATs_fixed_valref,Mahalanobis_z
0.2411408815903198,53.44124168514413,279,1339,eval_at,0.17620470672845853,OceanBEATs_fixed_valref,Mahalanobis_z
0.24200518582541056,53.36141906873615,280,1337,eval_at,0.19427459985017784,OceanBEATs_fixed_valref,Mahalanobis_z
0.2428694900605013,53.5609756097561,281,1342,eval_at,0.21156358361244204,OceanBEATs_fixed_valref,Mahalanobis_z
0.23854796888504753,53.88026607538803,276,1350,eval_at,0.23039476804435238,OceanBEATs_fixed_valref,Mahalanobis_z
0.24027657735522903,53.281596452328166,278,1335,eval_at,0.24843194097280494,OceanBEATs_fixed_valref,Mahalanobis_z
0.23854796888504753,53.20177383592018,276,1333,eval_at,0.26605473756790154,OceanBEATs_fixed_valref,Mahalanobis_z
0.23768366464995677,53.1219512195122,275,1331,eval_at,0.28374294757843016,OceanBEATs_fixed_valref,Mahalanobis_z
0.23595505617977527,52.84257206208426,273,1324,eval_at,0.3010329587757586,OceanBEATs_fixed_valref,Mahalanobis_z
0.23854796888504753,52.48337028824834,276,1315,eval_at,0.3200091654062271,OceanBEATs_fixed_valref,Mahalanobis_z
0.23768366464995677,52.40354767184036,275,1313,eval_at,0.3371487720310687,OceanBEATs_fixed_valref,Mahalanobis_z
0.23768366464995677,52.283813747228386,275,1310,eval_at,0.3580786824226378,OceanBEATs_fixed_valref,Mahalanobis_z
0.23336214347450301,51.924611973392466,270,1301,eval_at,0.3764622287452221,OceanBEATs_fixed_valref,Mahalanobis_z
0.23336214347450301,51.286031042128606,270,1285,eval_at,0.394754749238491,OceanBEATs_fixed_valref,Mahalanobis_z
0.23249783923941228,51.246119733924616,269,1284,eval_at,0.41179473191499705,OceanBEATs_fixed_valref,Mahalanobis_z
0.22817631806395852,50.647450110864746,264,1269,eval_at,0.43067830562591564,OceanBEATs_fixed_valref,Mahalanobis_z
0.22212618841832324,50.208425720620845,257,1258,eval_at,0.44830066710710526,OceanBEATs_fixed_valref,Mahalanobis_z
