species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Short-finned pilot whale,16,3,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,4,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,5,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,6,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,7,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,8,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,16,9,0.8013345976404438,0.08051534451264111,5,11,9
Short-finned pilot whale,all,0,0.8013345976404438,0.08051534451264111,5,11,9
Rough-toothed dolphin,1,0,0.5471058042778729,0.20783628539523313,4,8,1
Rough-toothed dolphin,1,1,0.737293431681913,0.20758439655142613,4,8,1
Rough-toothed dolphin,1,2,0.47368016771236016,0.21149054089645755,3,8,1
Rough-toothed dolphin,1,3,0.5784464190099354,0.21657681638765053,4,8,1
Rough-toothed dolphin,1,4,0.631405183192441,0.23585565426522154,4,8,1
Rough-toothed dolphin,1,5,0.4248255145843193,0.2538481488782061,4,8,1
Rough-toothed dolphin,1,6,0.6016647480649273,0.23731488096427839,4,8,1
Rough-toothed dolphin,1,7,0.6571261676436811,0.2031266541672404,4,8,1
Rough-toothed dolphin,1,8,0.6940125261031954,0.32804769428194624,3,8,1
Rough-toothed dolphin,1,9,0.6362603224113795,0.23997920413730223,4,8,1
Rough-toothed dolphin,2,0,0.6784135649971069,0.27595670314677667,4,8,2
Rough-toothed dolphin,2,1,0.6235270136369062,0.3219281364471436,4,8,2
Rough-toothed dolphin,2,2,0.6189665450098765,0.1667812813301677,4,8,2
Rough-toothed dolphin,2,3,0.6492578057377596,0.23452516180584665,4,8,2
Rough-toothed dolphin,2,4,0.6495424812841812,0.14425360834296963,4,8,2
Rough-toothed dolphin,2,5,0.5796165769596595,0.2983798980927146,4,8,2
Rough-toothed dolphin,2,6,0.5794650640703871,0.24548351553063225,4,8,2
Rough-toothed dolphin,2,7,0.6537798292256513,0.23206359734584914,4,8,2
Rough-toothed dolphin,2,8,0.4625242970305081,0.25142397599253047,4,8,2
Rough-toothed dolphin,2,9,0.6444808361311425,0.2667066529206057,4,8,2
Rough-toothed dolphin,4,0,0.5533780477326283,0.2386922181611726,4,8,4
Rough-toothed dolphin,4,1,0.6718975440686413,0.3146712926828169,4,8,4
Rough-toothed dolphin,4,2,0.5425860441448794,0.1396920094605834,4,8,4
Rough-toothed dolphin,4,3,0.5259227415142753,0.23734088860319164,4,8,4
Rough-toothed dolphin,4,4,0.661721666095111,0.313534186859849,4,8,4
Rough-toothed dolphin,4,5,0.5962813424141074,0.31656881908620316,4,8,4
Rough-toothed dolphin,4,6,0.6408754203409895,0.2619189808587626,4,8,4
Rough-toothed dolphin,4,7,0.6778739897846555,0.281622309357486,4,8,4
Rough-toothed dolphin,4,8,0.6062956017817791,0.31613959343368586,4,8,4
Rough-toothed dolphin,4,9,0.6464813705607295,0.31900131516946006,4,8,4
Rough-toothed dolphin,8,0,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,1,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,2,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,3,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,4,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,5,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,6,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,7,0.6347860396893448,0.30547008417627936,4,8,6
